predicate,argument,actual_fit,exp_fit
beg,casino,3.5,0.75
testify,office,2.5,0.5
testify,courtroom,7,1.0
testify,police station,5.8,0.5
testify,classroom,2.5,0.25
testify,planetarium,1.4,0.0
testify,store,1.4,0.25
testify,jail,3.3,0.25
wait,hospital,6.3,0.75
wait,restaurant,6.2,0.75
wait,office,5,0.75
wait,school,3.5,0.75
wait,lineup,7,0.5
wait,bedroom,1.6,0.75
swim,bathtub,2.3,0.25
swim,lake,6.7,1.0
swim,pool,7,1.0
swim,puddle,1.2,0.0
swim,ocean,6.6,1.0
swim,beach,6.2,0.75
swim,desert,1,0.0
swim,swamp,1.5,0.25
swim,creek,2.9,0.75
pray,temple,6.8,1.0
pray,church,7,1.0
pray,casino,4.2,0.25
pray,school,4.1,0.5
pray,cemetery,6,0.75
pray,kitchen,2.2,0.5
pray,theatre,1.5,0.25
confess,church,6.9,0.75
confess,school,4.2,0.5
confess,court,6,0.75
confess,office,3,0.75
confess,studio,1.7,0.75
confess,hearing,5.3,0.75
confess,jail,3.8,0.75
sleep,bathtub,2.2,0.25
sleep,tent,5.9,0.75
sleep,bedroom,7,1.0
sleep,hotel,6.3,0.75
sleep,chair,4.6,0.5
sleep,car,4.1,0.5
sleep,trailer,5.6,0.75
sleep,concert,1.5,0.0
wash,lake,4,0.75
wash,bathroom,7,1.0
wash,laundromat,4.9,1.0
wash,puddle,1.2,0.25
wash,pool,2.5,0.25
wash,factory,2.5,0.75
wash,hospital,5.6,0.75
run,house,2.8,0.25
run,track,6.9,1.0
run,treadmill,6.8,0.75
run,gymnasium,6.4,0.75
run,sidewalk,5.5,0.75
run,road,5.2,0.75
run,restaurant,1.3,0.0
fish,ocean,6.4,1.0
fish,lake,6.8,1.0
fish,pool,1.1,0.5
fish,puddle,1,0.25
fish,pond,5,1.0
fish,river,6.2,1.0
fish,swamp,2.5,0.75
weigh,supermarket,6.7,0.75
weigh,bathroom,6.4,0.75
weigh,gymnasium,5.7,0.5
weigh,hospital,5.5,0.75
weigh,restaurant,3.6,0.75
weigh,sauna,2.5,0.25
weigh,bar,1.6,0.0
weigh,classroom,2.6,0.25
weigh,delicatessen,6.3,0.75
rescue,lake,5.9,0.75
rescue,tree,4.8,0.0
rescue,house,4.9,0.75
rescue,park,3.9,0.75
rescue,cave,3.8,0.75
rescue,mine,4.4,0.75
rescue,ocean,4.8,0.75
rescue,battlefield,6,0.75
rescue,prison,2.8,0.75
exercise,car,1.4,0.0
exercise,gymnasium,7,1.0
exercise,house,5.1,0.75
exercise,school,4.9,0.75
exercise,track,6.9,1.0
exercise,stadium,4.4,0.75
exercise,campground,3.5,0.75
study,mall,1.6,0.25
study,library,6.9,1.0
study,bank,1.5,0.0
study,gymnasium,2.1,0.25
study,car,2.5,0.25
study,office,4.4,0.75
study,bedroom,5.8,0.75
study,dormitory,5.7,0.75
study,classroom,6.2,1.0
escape,hospital,3.4,0.75
escape,prison,4.3,1.0
escape,school,3.5,0.75
escape,resort,2.7,0.5
escape,gymnasium,2.3,0.75
escape,campground,2.5,0.75
deposit,library,4.7,0.75
deposit,bank,7,1.0
deposit,hospital,3.4,0.0
deposit,store,3.2,0.75
deposit,instabank,6.2,1.0
deposit,hotel,4.2,0.75
deposit,kitchen,2.3,0.25
mourn,party,1.6,0.0
mourn,funeral,7,1.0
mourn,wedding,2.2,0.0
mourn,bank,1.8,0.25
mourn,cemetery,6.8,1.0
mourn,temple,5.6,0.75
mourn,theatre,2,0.5
worship,theater,1.6,0.5
worship,chapel,6.7,1.0
worship,school,2.9,0.25
worship,bar,1.4,0.0
worship,temple,6.8,1.0
worship,cemetery,4.3,0.5
eat,restaurant,7,1.0
eat,kitchen,7,0.75
eat,pub,4.9,0.75
eat,delicatessen,5.3,0.75
eat,stadium,4.7,0.5
eat,lobby,2.6,0.25
eat,bedroom,3.5,0.25
shower,gymnasium,4.8,0.75
shower,bathroom,6.9,1.0
shower,pool,2.3,0.25
shower,field,1.2,0.0
shower,sauna,2.2,0.5
shower,cottage,4.3,0.5
cook,kitchen,7,1.0
cook,restaurant,6.8,1.0
cook,trailer,5,0.5
cook,mall,3.2,0.5
cook,campground,4.9,0.75
cook,cabin,5.2,0.75
cook,tent,2.2,0.25
sell,store,7,1.0
sell,street,5.4,0.75
sell,market,6.6,1.0
sell,mall,6.9,1.0
sell,arena,4.9,0.75
sell,driveway,2.5,0.75
sell,pub,6.2,0.75
sell,desert,1.1,0.25
preach,ghetto,2.5,0.75
preach,airport,2.3,0.25
preach,church,7,1.0
preach,synagogue,6.7,1.0
preach,street,3.2,0.75
preach,classroom,4.8,0.75
preach,courtroom,4.4,0.25
skate,backyard,3,0.75
skate,park,4.8,0.75
skate,pond,4.4,0.75
skate,rink,7,1.0
skate,arena,7,0.75
skate,lake,4.3,0.75
skate,schoolyard,2.3,0.75
stroll,countryside,6.4,1.0
stroll,park,6.8,1.0
stroll,forest,5.6,0.75
stroll,highway,1.3,0.0
stroll,field,4.3,0.75
stroll,riverbank,4.9,0.75
stroll,bathroom,1.1,0.0
dance,auditorium,5.3,0.75
dance,bar,5.8,0.75
dance,ballroom,7,1.0
dance,kitchen,2.6,0.75
dance,stage,5.4,1.0
dance,gymnasium,4.4,0.75
dance,shower,2.2,0.25
urinate,backyard,3.3,0.5
urinate,bathroom,7,1.0
urinate,mall,4.1,0.5
urinate,forest,4.3,0.75
urinate,field,3.5,0.75
urinate,lobby,1.4,0.0
urinate,bank,1.4,0.5
draw,classroom,6.2,0.75
draw,museum,4.1,0.75
draw,park,3.8,0.75
draw,beach,3.7,0.0
draw,studio,6.5,1.0
draw,cliff,2.6,0.0
draw,lake,2.8,0.0
